ticker,annouced,div_total,div_per_share
58,20080610,1765.797773,0.0225
58,20090616,1412.638218,0.018
58,20160607,2354.39703,0.03
58,20170811,3706.968747,0.03
58,20180608,6796.10937,0.055
58,20190704,4324.796872,0.035
58,20200629,3706.968747,0.03
59,NaN,0,0
59,NaN,NaN,0
59,NaN,NaN,0
59,19980617,5412,0.088
59,20000509,21223.20685,0.32
59,20070525,3820.177233,0.0576
59,20081206,3457.458337,0.0288
59,20100422,4321.822921,0.036
59,20120420,10804.5573,0.09
59,20170609,35827.51283,0.224
59,20190618,39986.06343,0.25
59,20200513,37586.89962,0.235
60,NaN,NaN,0
60,NaN,NaN,0
60,NaN,NaN,0
60,NaN,0,0
60,19970704,1304,0.163
60,19990511,0,0
60,20000518,1152,0.04
60,20010607,6912,0.16
60,20030702,2073.6,0.048
60,20040526,3456,0.08
60,20050512,4320,0.1
60,20060413,3024,0.07
60,20070515,40020.96,0.602
60,20080530,19846.9392,0.2714
60,20090707,8753.4216,0.0855
60,20100427,20.47584,0.0002
60,20110428,2856.37968,0.018
60,20120714,13367.8569,0.0648
60,20130820,8819.072262,0.04275
60,20140612,5879.381508,0.0285
60,20150603,6305.989623,0.0285
60,20160608,2212.627938,0.01
60,20170505,6637.883814,0.03
60,20171118,7139.370654,0.03
60,20180509,59494.75545,0.25
60,20190508,28557.48262,0.08
60,20200516,25701.73435,0.072
61,NaN,NaN,0
61,NaN,0,0
61,NaN,NaN,0
61,NaN,NaN,0
61,19970619,0,0
61,19980402,0,0
61,20000607,2568.87152,0.2
61,20010620,2957.722288,0.16
61,20020619,2957.722288,0.16
61,20030909,1292.211474,0.06
61,20050620,1744.485489,0.045
61,20080611,3488.970978,0.09
61,20090526,6102.856467,0.135
61,20100609,6916.570659,0.09
61,20110623,7608.227725,0.099
61,20120504,5379.554957,0.07
61,20130619,8060.579622,0.0475
61,20140619,8060.579622,0.0475
61,20150620,8060.579622,0.0475
61,20160621,8484.820655,0.05
61,20170626,8484.820655,0.05
61,20180619,8484.820655,0.05
61,20190612,1696.964131,0.01
61,20200611,10181.78479,0.06
62,NaN,NaN,0
62,NaN,NaN,0
62,NaN,NaN,0
62,19970620,0,0
62,19990526,0,0
62,20000617,2163.199984,0.08
62,20010618,2163.199984,0.08
62,20020712,2163.199984,0.08
62,20030718,2163.199984,0.08
62,20040723,2163.199984,0.08
62,20050715,2433.599982,0.09
62,20060511,0,0
62,20060811,2433.45734,0.07877
62,20070802,1390.193987,0.045
62,20080621,1390.193987,0.045
62,20090805,1390.193987,0.045
62,20100621,3001.274087,0.045
62,20110430,3001.274087,0.045
62,20130410,9504.034607,0.1425
62,20140430,19008.06921,0.285
62,20150702,3168.011536,0.0475
62,20160507,7213.16774,0.1
62,20170506,14426.33548,0.2
62,20180503,25246.08709,0.35
62,20190429,18032.91935,0.25
62,20200427,15688.63983,0.15
62,20210416,20918.18644,0.2
63,NaN,NaN,0
63,NaN,NaN,0
63,NaN,0,0
